pointer_offsets;pointer_value;separators;extract
0x8D3E40;0x00949720;00 00;１
0x8D3E44;0x00949724;00 00;２
0x8D3E48;0x00949728;00 00;３
0x8D3E54;0x0094972C;00 00 FF FF;6 read load failed
0xC291A0;0x00949774;00 00 00 00;Are you sure you want to return to†the title screen?
0xC291A4;0x009497C0;00 00 00 00;Would you like to save the current†progress?
0xC29190;0x00949824;00 00 00 00;I will set up the game environment.
0xC29184;0x00949870;00 00;I will set up the communication parameters.
0xC2917C;0x009498C4;00 00 00 00;We'll engage in various fights through communication and more.
0xC29198;0x0094991C;00 00;I purchase cards and recipes.
0xC29180;0x0094994C;00 00 00 00;Input the password you acquired.
0xC2918C;0x00949998;00 00;I'll check the rules for playing fight.
0xC29188;0x009499E4;00 00 00 00;I'll confirm the cards I've collected.
0xC29178;0x00949A20;00 00 00 00;You will create and edit your deck.
0xC29194;0x00949A64;00 00;I proceed with the story
0xC2919C;0x00949A88;00 00 FF FF;Return to the title screen.
0x8D3F38;0x00949AC0;00 00 00 00;These are the conditions to earn bonuses†in battle. Challenge and aim for a†large VP gain.
0x8D3F48;0x00949B78;00 00;This is the title displayed in communication†battles. Set your favorite title.
0x8D3F40;0x00949C34;00 00;This message will be displayed in a†communication fight. Let's set a message†for our opponent.
0x8D3F20;0x00949CC8;00 00;You can purchase packs and recipes†to try making various decks.
0x8D3F18;0x00949D48;00 00 00 00;Let's build your deck with the cards†you've collected. You can also set†up sleeves and a playmat.
0x8D3F28;0x00949DC8;00 00;You can check your win rate and information†against characters and other players†you've duelled in events.
0x8D3F60;0x00949E70;00 00 00 00;You can change the settings for passing†communication.
0x8D3F50;0x00949ED8;00 00;You can change the appearance, name,†and nickname of the protagonist.
0x8D3F10;0x00949F5C;00 00;Pressing START during the tutorial†allows you to exit at any point.
0x8D3F70;0x00949FFC;00 00;You can check the cards you have obtained.†
0x8D3F08;0x0094A050;00 00;You can confirm the flow of battle,†rules, and terminology by actually†operating through them.
0x8D3F68;0x0094A0F0;00 00 00 00;You can obtain cards by entering the†password.
0x8D3F30;0x0094A158;00 00;You can also save recipes used by other†players
0x8D3F78;0x0094A1BC;00 00 00 00;You can increase your card count by†using CP.
0x8D3F58;0x0094A21C;00 00;You can fight against characters you†duelled in events and other players†via communication.
0xC293B0;0x0094A298;00 00 00 00;Deck customization page
0xC293B8;0x0094A2B0;00 00;Go to the shop.
0xC293B4;0x0094A2BC;00 00;Add to collection
0xC293BC;0x0094A2CC;00 00;Return
0xC295E0;0x0094A2E0;00 00;Additional data is corrupted. Recreating†additional data now.
0xC295DC;0x0094A364;00 00 00 00;Save data not found. Creating new save†data as additional data.
0xC295E8,0xC29600;0x0094A3EC;00 00;The SD card is write-protected. Failed†to write to the SD card.
0xC295F0;0x0094A490;00 00;The SD card could not be recognized.†Writing to the SD card failed.
0xC295E4,0xC295FC;0x0094A518;00 00 00 00;Insufficient SD card space. Failed†to write to SD card.
0xC295CC;0x0094A5BC;00 00 00 00;Do you want to save to SD card?
0xC29614;0x0094A5DC;00 00;Do you want to load the save data for†SD Card Lock-On Victory!?
0xC295C4;0x0094A63C;00 00 00 00;The saved data includes potential future†addition data.
0xC295C8;0x0094A6DC;00 00 00 00;This game, Stride to Victory!!, contains†save data that cannot be read.
0xC29624;0x0094A758;00 00;Additional data is corrupted
0xC295D0;0x0094A794;00 00 00 00;Saving to SD card...
0xC29610;0x0094A7B4;00 00 00 00;Loading save data allows you to carry†over cards.
0xC295C0;0x0094A820;00 00 00 00;Saves play data to SD card
0xC2960C;0x0094A858;00 00;SD card lock-on victory! Loading save†data...
0xC295D8,0xC2961C;0x0094A8B4;00 00;SD card recognition failed
0xC29620;0x0094A8E8;00 00;Save data for Cardfight!! Vanguard†Lock On Dynamics could not be found.†
0xC29608;0x0094A964;00 00;Failed to write to SD card
0xC295EC;0x0094A9B4;00 00 00 00 FF FF;Successfully written to SD card
0xC29740;0x0094AA08;00 00;・You choose the same fight mode as†your opponent.・The parent unit sets†the location number and chooses to†create the fight zone.・The subunit†sets the same location number as the†parent unit and chooses to go to the†Fight Zone.
0xC29748;0x0094ABD4;00 00;・You choose the same fight mode as†your opponent.・The parent unit chooses†the fight location to create.・The subunit†chooses its fight zone destination.†
0xC29744;0x0094ACF8;00 00 00 00;・Before battle, automatic save starts.†・Closing the Nintendo 3DS will activate†sleep mode and disconnect communication.†・Internet communication battles have†a time limit per turn.
0xC2973C;0x0094AE3C;00 00 00 00;・Before battle, automatic save starts.†・Closing the Nintendo 3DS will activate†sleep mode and disconnect communication.†
0xC29724;0x0094AF04;00 00;Do you want to fight against this user?　　　　　　　　Settings
0xC2974C;0x0094AF5C;00 00;Please note the following points for communication battles.
0xC29710;0x0094AFC8;00 00;Choose your opponent for battle.
0xC29718;0x0094B014;00 00 00 00;I'm looking for a fight location.
0xC29714;0x0094B050;00 00;Connecting to server
0xC29728;0x0094B07C;00 00;I am waiting for my opponent.
0xC2971C;0x0094B0AC;00 00;Waiting for opponent
0xC296F8;0x0094B0E4;00 00;Change the battle场地 number
0xC296F4;0x0094B138;00 00 00 00;Change fight mode
0xC296F0;0x0094B168;00 00 00 00;Move to the created battle field.
0xC29720;0x0094B1C0;00 00;Connect to the fight location
0xC296E8,0xC29C0C;0x0094B1FC;00 00;I'll check the regulations.
0xC296E4;0x0094B22C;00 00 00 00;Use the internet to fight!
0xC296E0;0x0094B264;00 00;You will fight directly with the 3DS nearby.
0xC296FC;0x0094B2B8;00 00;I'll fight with my friend.
0xC29708;0x0094B2D4;00 00 00 00;I'll fight with users stronger than me.
0xC29700;0x0094B31C;00 00;I will fight with users from all over the country
0xC29704;0x0094B350;00 00 00 00;I'll fight with users of similar strength.
0xC2970C;0x0094B39C;00 00;I will fight with all users.
0xC296EC;0x0094B3C0;00 00 00 00;I create the fight stage
0xC29730;0x0094B3F8;00 00;No opponent found
0xC2972C;0x0094B43C;00 00 00 00;The opponent canceled.
0xC29734;0x0094B468;00 00 00 00;This opponent is in battle, or there isn't one anymore.
0xC29738;0x0094B4B4;00 00;Due to different versions, we can't†fight.
0xC296D8;0x0094B504;00 00 00 00;World Fight
0xC296D4;0x0094B518;00 00 00 00;Friend Fight
0xC296D0;0x0094B52C;00 00;Internet Communication Battle
0xC296CC;0x0094B548;00 00 00 00;Local Communication Battle
0xC296DC;0x0094B560;00 00 FF FF;location number
0xC298D4,0xDB02BC;0x0094B56C;00 00;It's too strong!
0xC298B0,0xDB0298;0x0094B588;00 00;Next, I won't lose!
0xC298C0,0xDB02A8;0x0094B5B4;00 00;Nice playing!
0xC298CC,0xDB02B4;0x0094B5C8;00 00 00 00;Nice fight!
0xC29894;0x0094B5DC;00 00;I received a collection pack from my†opponent. I can open one pack.
0xC29898,0xDB0280;0x0094B650;00 00;I sent the opponent a Collection Pack.†I can open one pack as well.
0xC2989C;0x0094B6E4;00 00;I received a collection pack from my†opponent. I can open two packs.
0xC2988C;0x0094B758;00 00;Do you want to spend 100 CP to send†a Collection Pack? (You can open it†as well)
0xC298B4,0xDB029C;0x0094B804;00 00 00 00;The wind has stopped...
0xC298C4,0xDB02AC;0x0094B830;00 00;A little disappointing...
0xC298DC,0xDB02C4;0x0094B854;00 00 00 00;You're the real deal...
0xC298AC,0xDB0294;0x0094B888;00 00;There, to pull the trigger...
0xC29888;0x0094B8B0;00 00;Choose a comment to send to your opponent.
0xC298D0,0xDB02B8;0x0094B90C;00 00 00 00;I had fun.
0xC298A0;0x0094B92C;00 00 00 00;The opponent is choosing.
0xC298BC,0xDB02A4;0x0094B960;00 00;Please take care again.
0xC298A8,0xDB0290;0x0094B988;00 00;Good fight!
0xC298A4,0xDB028C;0x0094B99C;00 00;Thank you.
0xC298D8,0xDB02C0;0x0094B9B4;00 00;I lost.
0xC298B8,0xDB02A0;0x0094B9CC;00 00 00 00;I learned a lot
0xC298C8,0xDB02B0;0x0094B9F4;00 00;Withdrawal Cannot Occur – Wireless†communication is OFF. Please turn it†ON.
0xC29AB4;0x0094BA68;00 00 00 00;Do you want to change your Communication Avatar?
0xC29AB8;0x0094BAAC;00 00 FF FF;Choose the avatar you want to change
0xC29B6C;0x0094BAFC;00 00 00 00;This deck cannot be used in Clan Battle.†The warning can be turned ON or OFF†as an option.
0xC29B70;0x0094BB80;00 00 00 00;First Vanguard is not set. Do you want†to exit deck editing?
0xC29B4C,0xC29CDC;0x0094BBD8;00 00;Please keep the cards in your deck at 50 or fewer.
0xC29B50;0x0094BC30;00 00 00 00;Already 4 cards with this name are in your hand.
0xC29B58;0x0094BC7C;00 00 00 00;Already 4 Guardian cards are in place.
0xC29B54;0x0094BCCC;00 00;Already 16 cards with this name are in your deck.
0xC29B68;0x0094BD18;00 00 00 00;I've switched to an Extreme deck
0xC29B74;0x0094BD5C;00 00;Deck new
0xC29B5C;0x0094BD68;00 00;You do not have any more of this card.
0xC29B64;0x0094BDB0;00 00;In ClanFight, this cannot be used in FV.
0xC29B60;0x0094BDE8;00 00 FF FF;Options prevent this from being added to Extremefight Deck.
0xC29BB4;0x0094BE28;00 00 00 00;Do you want to shuffle the deck?
0xC29BB8;0x0094BE80;00 00 00 00;Do you want to empty your deck?
0xC29BB0;0x0094BEA8;00 00 FF FF;Do you want to reset the filtering conditions?
0xC29C2C;0x0094BEFC;00 00 00 00;The name of your deck could gain more†visibility through Communication Fight†and Casual Communication. Please do†not use content that may make others†uncomfortable, illegal content, or†information that infringes on others'†rights or personal information.
0xC29BF8;0x0094C114;00 00;Let's set up your current deck.
0xC29BFC;0x0094C16C;00 00;Create a deck from an empty state
0xC29C1C;0x0094C1C0;00 00 00 00;You set the playmat design.
0xC29C18;0x0094C1F8;00 00 00 00;Set the sleeve design
0xC29C28;0x0094C22C;00 00 00 00;I will change the stand-up voice clip.
0xC29C14;0x0094C274;00 00;Now, change the name of the currently setting deck
0xC29C24;0x0094C2E0;00 00;Change deck icon
0xC29C08;0x0094C310;00 00 00 00;Change deck customization options
0xC29C20;0x0094C350;00 00;Change avatar
0xC29C10;0x0094C378;00 00;Now, edit the currently setting deck.
0xC29C04;0x0094C3D0;00 00;I register the card combination
0xC29C00;0x0094C410;00 00;I am reading the combination of cards.
0xC29C68;0x0094C458;00 00;Choose your icon
0xC29CEC;0x0094C48C;00 00;Your current deck can't be used in†battles. Would you like to load another†recipe?
0xC29CD8;0x0094C518;00 00;Please set your deck to 50 cards.
0xC29CE8;0x0094C568;00 00 00 00;Set the trigger to 16 cards.
0xC29CE4;0x0094C5A4;00 00 00 00;Please set the Heal Triggers to 4 or fewer.
0xC29CE0;0x0094C5EC;00 00;Please have 8 cards or fewer in your G Deck.
0xC29D28;0x0094C644;00 00 FF FF;The opponent is choosing their deck.
0xC29E44;0x0094C68C;00 00;Do you want to use this recipe?
0xC29E2C;0x0094C6B4;00 00;Do you want to register the content of your current deck?
0xC29E34;0x0094C708;00 00 00 00;Do you want to register the opponent's deck recipe?
0xC29E40;0x0094C768;00 00 00 00;Do you want to delete this recipe?
0xC29E30;0x0094C798;00 00;Do you want to overwrite the current deck's content?
0xC29E38;0x0094C7EC;00 00 00 00;Do you overwrite the opponent's deck recipe?
0xC29E3C;0x0094C84C;00 00 00 00;Do you want to read the contents of this recipe?
0xC29E20;0x0094C89C;00 00;Unset
0xC29E48;0x0094C8B8;00 00 00 00;After 1 more minute, your current deck†will be selected.
0xC29E4C;0x0094C920;00 00;After 1 more minute, the deck recipe†will be automatically selected.
0xC29E54;0x0094C990;00 00 00 00;You cannot read out an Extreme Fight†deck with options.
0xC29E50;0x0094C9E0;00 00;You cannot use a Extreme Fight deck†for this.
0xC29E28;0x0094CA3C;00 00;other fighters' deck
0xC29E90;0x0094CA54;00 00 FF FF;Rules
0xC29FA8;0x0094CA68;00 00;Choose the voice you want to change.
0xC34304,0xC3438C,0xCB297C,0xCB2A04,0xCB9F6C,0xCB9FF4,0xCBB28C,0xCBB314,0xD9FF64,0xDA15CC,0xDA15D4,0xDA167C,0xDA16DC,0xDA1A2C,0xDA1A8C,0xDA1AC4,0xDA1AE4,0xDA1B4C;0x0094CAC4;00 00 00 00;Blaster Blade Seeker
